Expt,ClogP,Polarizability,Name,smiles
-4.63,4.19,131.435,acenaphthene,c1cc2c3c(cccc3c1)CC2
-3.04,3.34,102.07700000000001,indane,c1ccc2c(c1)CCC2
-4.37,3.9,114.561,"1,2,3,4-tetrahydronapthalene",c1ccc2c(c1)CCCC2
-2.64,2.82,60.891000000000005,cyclopentane,C1CCCC1
-3.1,3.39,73.375,cyclohexane,C1CCCCC1
-3.52,3.95,85.859,cycloheptane,C1CCCCCC1
-4.15,4.51,98.34299999999999,cyclooctane,C1CCCCCCC1
-3.27,3.49,85.20299999999999,1-methylcyclohexene,CC1=CCCCC1
-2.59,2.89,72.719,cyclohexene,C1=CCCCC1
-3.18,3.46,85.20299999999999,cycloheptene,C1=CCCCCC1
-2.1,2.33,60.235,cyclopentene,C1=CCCC1
-1.97,2.3,72.063,"1,4-cyclohexadiene",C1=CCC=CC1
-2.15,2.49,83.891,cycloheptatriene,C1=CC=CCC=C1
-2.15,2.49,83.891,cycloheptatriene,C1=CC=CCC=C1
-6.08,5.44,123.311,pentylcyclopentane,CCCCCC1CCCC1
-4.74,4.38,98.34299999999999,n-Propylcyclopentane,CCCC1CCCC1
-3.3,3.31,73.375,methylcyclopentane,CC1CCCC1
-4.25,4.41,98.34299999999999,ethylcyclohexane,CCC1CCCCC1
-3.85,3.88,85.859,methylcyclohexane,CC1CCCCC1
-4.47,4.37,98.34299999999999,"1,4-dimethylcyclohexane",CC1CCC(C)CC1
-4.0,4.45,121.999,d-limonene,C=C(C)C1CC=C(C)CC1
-5.19,4.93,116.529,decalin,C1CCC2CCCCC2C1
-4.27,4.37,98.34299999999999,"trans-1,2-dimethylcyclohexane",CC1CCCCC1C
-1.64,2.22,71.407,benzene,c1ccccc1
-3.96,4.27,130.779,acenaphthylene,C1=Cc2cccc3cccc1c23
-4.15,4.44,133.827,t-pentylbenzene,CC(C)(C)Cc1ccccc1
-4.36,4.11,92.641,"2,2-dimethylpentane",CCCC(C)(C)C
-5.05,4.99,117.609,"2,2,5-trimethylhexane",CC(C)CCC(C)(C)C
-4.23,4.11,92.641,"3,3-dimethylpentane",CCC(C)(C)CC
-4.15,4.44,133.827,t-amylbenzene,CCC(C)(C)c1ccccc1
-3.55,3.58,80.157,"2,2-dimethylbutane",CCC(C)(C)C
-4.74,4.46,105.125,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C
-3.66,3.91,121.34299999999999,t-butylbenzene,CC(C)(C)c1ccccc1
-4.36,3.93,92.641,"2,2,3-trimethylbutane",CC(C)C(C)(C)C
-4.17,4.21,150.045,diphenylmethane,c1ccc(Cc2ccccc2)cc1
-0.4,1.32,29.565,ethylene,C=C
-4.62,4.7,162.529,bibenzyl,c1ccc(CCc2ccccc2)cc1
-3.37,3.74,108.859,n-propylbenzene,CCCc1ccccc1
-3.03,3.45,79.501,2-methyl-1-Pentene,C=C(C)CCC
-1.64,2.06,63.00899999999999,1-pentyne,C#CCCC
-4.64,4.8,133.827,n-pentylbenzene,CCCCCc1ccccc1
-3.01,3.12,87.977,1-heptyne,C#CCCCCC
-4.24,4.19,112.945,1-nonyne,C#CCCCCCCC
-8.33,14.57,329.837,hexacosane,CCCCCCCCCCCCCCCCCCCCCCCCCC
-8.17,11.38,254.933,eicosane,CCCCCCCCCCCCCCCCCCCC
-8.4,9.26,204.997,hexadecane,CCCCCCCCCCCCCCCC
-7.96,8.19,180.02900000000002,tetradecane,CCCCCCCCCCCCCC
-5.88,5.54,117.609,nonane,CCCCCCCCC
-5.51,5.56,129.437,1-decene,C=CCCCCCCCC
-5.24,5.01,105.125,n-octane,CCCCCCCC
-5.05,5.03,116.95299999999999,1-nonene,C=CCCCCCCC
-5.21,5.34,146.311,n-hexylbenzene,CCCCCCc1ccccc1
-3.66,3.65,100.461,1-octyne,C#CCCCCCC
-4.53,4.47,92.641,n-heptane,CCCCCCC
-4.44,4.5,104.469,1-octene,C=CCCCCCC
-3.84,3.94,80.157,n-hexane,CCCCCC
-3.73,3.96,91.985,1-heptene,C=CCCCCC
-4.06,4.27,121.34299999999999,n-butylbenzene,CCCCc1ccccc1
-2.36,2.59,75.493,1-hexyne,C#CCCCC
-3.18,3.41,67.673,n-pentane,CCCCC
-3.23,3.43,79.501,1-hexene,C=CCCCC
-3.82,3.96,91.985,trans-2-heptene,CC=CCCCC
-3.82,3.96,91.985,trans-2-heptene,CC=CCCCC
-2.57,2.88,55.18899999999999,butane,CCCC
-2.68,2.9,67.017,1-pentene,C=CCCC
-2.68,2.8,78.845,"1,5-hexadiene",C=CCCC=C
-4.17,4.44,138.217,1-ethylnaphthalene,CCc1cccc2ccccc12
-3.28,4.2,121.34299999999999,"1,2-diethylbenzene",CCc1ccccc1CC
-3.21,3.67,108.859,1-ethyl-2-methylbenzene,CCc1ccccc1C
-6.89,5.67,180.05900000000003,2-ethylanthracene,CCc1ccc2cc3ccccc3cc2c1
-4.29,4.44,138.217,2-ethylnaphthalene,CCc1ccc2ccccc2c1
-3.75,4.2,121.34299999999999,"1,4-diethylbenzene",CCc1ccc(CC)cc1
-3.11,3.67,108.859,1-ethyl-4-methylbenzene,CCc1ccc(C)cc1
-2.77,3.21,96.375,ethylbenzene,CCc1ccccc1
-1.99,2.52,75.493,3-hexyne,CCC#CCC
-1.24,1.53,50.525,1-butyne,C#CCC
-2.73,2.92,67.017,2-methyl-1-butene,C=C(C)CC
-1.94,2.35,42.705,propane,CCC
-1.94,2.37,54.533,1-butene,C=CCC
-2.54,2.89,67.017,trans-2-pentene,CC=CCC
-2.54,2.89,67.017,trans-2-pentene,CC=CCC
-2.09,2.39,66.361,"1,4-pentadiene",C=CCC=C
-7.02,6.83,221.90099999999998,"7,12-dimethylbenz(a)anthracene",Cc1c2ccccc2c(C)c2c1ccc1ccccc12
-6.57,6.37,209.417,6-methylchrysene,Cc1cc2c3ccccc3ccc2c2ccccc12
-7.01,6.83,221.90099999999998,"5,6-dimethylchrysene",Cc1c(C)c2c3ccccc3ccc2c2ccccc12
-6.59,6.37,209.417,5-methylchrysene,Cc1cc2ccccc2c2ccc3ccccc3c12
-5.85,5.14,167.575,1-methylphenanthrene,Cc1cccc2c1ccc1ccccc12
-6.57,5.6,180.05900000000003,"9,10-dimethylanthracene",Cc1c2ccccc2c(C)c2ccccc12
-4.92,4.83,150.701,"1,4,5-trimethylnaphthalene",Cc1ccc(C)c2c(C)cccc12
-4.14,4.37,138.217,"1,4-dimethylnaphthalene",Cc1ccc(C)c2ccccc12
-4.74,4.37,138.217,"1,5-dimethylnaphthalene",Cc1cccc2c(C)cccc12
-5.89,5.14,167.575,9-methylanthracene,Cc1c2ccccc2cc2ccccc12
-4.29,4.37,138.217,"1,3-dimethylnaphthalene",Cc1cc(C)c2ccccc2c1
-3.7,3.91,125.73299999999999,1-methylnaphthalene,Cc1cccc2ccccc12
-5.23,4.98,146.311,hexamethylbenzene,Cc1c(C)c(C)c(C)c(C)c1C
-4.0,4.52,133.827,pentamethylbenzene,Cc1cc(C)c(C)c(C)c1C
-4.72,4.37,138.217,"2,3-dimethylnaphthalene",Cc1cc2ccccc2cc1C
-4.59,4.06,121.34299999999999,"1,2,4,5-tetramethylbenzene",Cc1cc(C)c(C)cc1C
-3.31,3.6,108.859,"1,2,4-trimethylbenzene",Cc1ccc(C)c(C)c1
-3.2,3.6,108.859,"1,2,3-trimethylbenzene",Cc1cccc(C)c1C
-2.8,3.14,96.375,o-xylene,Cc1ccccc1C
-5.84,5.14,167.575,2-methylphenanthrene,Cc1ccc2c(ccc3ccccc32)c1
-6.96,5.14,167.575,2-methylanthracene,Cc1ccc2cc3ccccc3cc2c1
-4.89,4.37,138.217,"2,6-dimethylnaphthalene",Cc1ccc2cc(C)ccc2c1
-3.77,3.91,125.73299999999999,2-methylnaphthalene,Cc1ccc2ccccc2c1
-3.4,3.6,108.859,"1,3,5-trimethylbenzene",Cc1cc(C)cc(C)c1
-2.82,3.14,96.375,m-xylene,Cc1cccc(C)c1
-4.62,4.44,150.045,4-methylbiphenyl,Cc1ccc(-c2ccccc2)cc1
-2.77,3.14,96.375,p-xylene,Cc1ccc(C)cc1
-2.21,2.68,83.891,toluene,Cc1ccccc1
-0.41,1.0,38.041,propyne,C#CC
-2.4,2.97,78.845,"2,3-dimethyl-1,3-butadiene",C=C(C)C(=C)C
-2.33,2.39,54.533,2-methylpropene,C=C(C)C
-2.03,2.41,66.361,"2-methyl-1,3-butadiene",C=CC(=C)C
-2.56,2.91,67.017,2-methy-2-Butene,CC=C(C)C
-1.36,1.82,30.221,ethane,CC
-1.08,1.84,42.049,propylene,C=CC
-0.9,1.09,17.737000000000002,methane,C
0.29,0.37,25.557,ethyne,C#C
-4.12,4.09,121.34299999999999,isobutylbenzene,CC(C)Cc1ccccc1
-5.08,4.82,105.125,2-methylheptane,CCCCCC(C)C
-5.16,4.82,105.125,3-methylheptane,CCCCC(C)CC
-3.74,3.76,80.157,2-methylpentane,CCCC(C)C
-3.68,3.76,80.157,3-methylpentane,CCC(C)CC
-3.89,4.09,121.34299999999999,2-butylbenzene,CCC(C)c1ccccc1
-3.18,3.23,67.673,2-methylbutane,CCC(C)C
-1.87,1.86,53.876999999999995,"1,3-butadiene",C=CC=C
-3.24,3.25,79.501,4-methyl-1-pentene,C=CCC(C)C
-4.26,4.11,92.641,"2,4-dimethylpentane",CC(C)CC(C)C
-3.76,4.02,121.34299999999999,2-isopropyltoluene,Cc1ccccc1C(C)C
-3.77,4.02,121.34299999999999,p-isopropyltoluene,Cc1ccc(C(C)C)cc1
-3.27,3.56,108.859,isopropylbenzene,CC(C)c1ccccc1
-2.55,2.7,55.18899999999999,2-methylpropane,CC(C)C
-2.73,2.72,67.017,3-methyl-1-Butene,C=CC(C)C
-4.28,4.11,92.641,"2,3-dimethylpentane",CCC(C)C(C)C
-3.65,3.58,80.157,"2,3-dimethylbutane",CC(C)C(C)C
-4.8,4.45,105.125,"2,3,4-trimethylpentane",CC(C)C(C)C(C)C
-5.26,5.89,228.43099999999998,kepone,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
-6.8,7.42,254.175,mirex,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
-4.61,3.53,226.081,griseofulvin,COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O
-2.88,-0.33,305.41,chlortetracycline,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12
-2.52,-0.87,292.926,demeclocycline,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12
-3.93,4.04,126.415,1-chloronaphthalene,Clc1cccc2ccccc12
-2.61,2.01,152.81799999999998,benazolin,O=C(O)Cn1c(=O)sc2cccc(Cl)c21
-6.29,4.88,203.798,endrin,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
-6.29,5.47,198.778,heptachlor epoxide,ClC1=C(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C2(Cl)Cl
-7.33,5.32,205.61700000000002,aldrin,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl
-6.86,5.57,214.419,chlordane,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl
-5.64,5.44,187.43099999999998,chlordene,ClC1=C(Cl)C2(Cl)C3CC=CC3C1(Cl)C2(Cl)Cl
-6.32,5.46,200.597,heptachlor,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl
-5.46,4.11,191.738,1-hydroxychlordene,OC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
-5.43,3.39,154.27100000000002,chlorquinox,Clc1c(Cl)c(Cl)c2nccnc2c1Cl
-4.98,3.58,139.159,"4,5,7-trichloro-2,1,3-benzothiadiazole",Clc1cc(Cl)c2nsnc2c1Cl
-11.62,8.1,269.221,"2,2´,3,3´,4,4´,5,5´,6,6´-PCB",Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl
-10.26,7.79,256.055,"2,2´,3,3´,4,4´,5,5´,6-PCB",Clc1cc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl
-10.41,7.76,256.055,"2,2´,3,3´,4,5,5´,6,6´-PCB",Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl
-7.92,7.1,229.72299999999998,"2,2',3,4,4',5',6-PCB",Clc1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1
-8.94,7.01,229.72299999999998,"2,2´,3,4,5,5´,6-PCB",Clc1ccc(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1
-7.92,6.04,203.391,"2,3,4,5,6-PCB",Clc1c(Cl)c(Cl)c(-c2ccccc2)c(Cl)c1Cl
-4.28,4.78,141.54399999999998,pentachlorophenol,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
-5.64,2.88,150.263,chlorothalonil,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl
-4.02,4.6,145.16899999999998,tetrachloroguaiacol,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl
-8.3,7.16,229.72299999999998,"2,2´,3,3´,4,4´,6-PCB",Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1Cl
-7.92,7.21,229.72299999999998,"2,2´,3,4,4´,5´,6-PCB",Clc1cc(Cl)c(-c2c(Cl)cc(Cl)c(Cl)c2Cl)cc1Cl
-7.43,6.26,203.391,"2,2´,3,4,6-PCB",Clc1ccccc1-c1c(Cl)cc(Cl)c(Cl)c1Cl
-7.66,6.79,216.55700000000002,"2,3,3´,4,4´6-PCB",Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)cc1Cl
-3.1,4.17,128.378,"2,3,4,6-Tetrachlorophenol",Oc1c(Cl)cc(Cl)c(Cl)c1Cl
-1.7,2.75,131.909,dicamba,COc1c(Cl)ccc(Cl)c1C(=O)O
-9.16,7.49,242.889,"2,2´,3,3´,4,4´,5,5´-PCB",Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl
-8.42,6.65,216.55700000000002,"2,2´,3,3´,4,5-PCB",Clc1cccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1Cl
-7.39,6.79,216.55700000000002,"2,3',4,4',5-PCB",Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1
-7.68,6.7,216.55700000000002,"2,2´,3,4,5,5´-PCB",Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1
-7.21,6.21,203.391,"2,2´,3,4,5-PCB",Clc1ccccc1-c1cc(Cl)c(Cl)c(Cl)c1Cl
-7.82,6.74,216.55700000000002,"2,3,3´,4,4´,5-PCB",Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl
-7.16,5.73,190.225,"2,3,4,5-PCB",Clc1cc(-c2ccccc2)c(Cl)c(Cl)c1Cl
-5.65,4.6,137.237,pentachlorobenzene,Clc1cc(Cl)c(Cl)c(Cl)c1Cl
-3.15,4.39,128.378,"2,3,4,5-tetrachlorophenol",Oc1cc(Cl)c(Cl)c(Cl)c1Cl
-8.71,7.1,216.55700000000002,"2,2',4,4',6,6'-PCB",Clc1cc(Cl)c(-c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1
-7.32,6.51,203.391,"2,2,4,6,6´-PCB",Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1
-6.14,5.54,177.05900000000003,"2,4,6-PCB",Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1
-2.34,3.58,115.212,"2,4,6-trichlorophenol",Oc1c(Cl)cc(Cl)cc1Cl
-8.01,6.73,216.55700000000002,"2,2´,3,3´,4,4´-PCB",Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl
-7.05,6.27,203.391,"1,2,3-trichloro-4-(2,3-dichlorophenyl)benzene",Clc1cccc(-c2ccc(Cl)c(Cl)c2Cl)c1Cl
-8.32,6.78,216.55700000000002,"2,2´,3,4,4´,5´-PCB",Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl
-7.8,6.41,203.391,"2,3',4,4'-PCB",Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1
-7.91,6.32,203.391,"2,2´,3,4,5´-PCB",Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c1
-7.05,6.36,203.391,"2,2´,3,3´,4-PCB",Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl
-4.57,4.18,124.071,"1,2,3,4-tetrachlorobenzene",Clc1ccc(Cl)c(Cl)c1Cl
-2.67,3.66,115.212,"2,3,4-trichlorophenol",Oc1ccc(Cl)c(Cl)c1Cl
-6.8,5.92,190.225,"2,2´,5,6´-PCB",Clc1ccc(Cl)c(-c2c(Cl)cccc2Cl)c1
-7.39,5.91,190.225,"2,2´,6,6´-PCB",Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl
-6.14,5.51,177.05900000000003,"2,4,6-PCB",Clc1ccc(-c2c(Cl)cccc2Cl)cc1
-5.21,4.94,163.893,"2,6-PCB",Clc1cccc(Cl)c1-c1ccccc1
-2.1,2.24,114.53,"2,6-dichlorobenzyl alcohol",OCc1c(Cl)cccc1Cl
-4.24,2.79,110.835,"2,6-dichlorobenzonitrile",N#Cc1c(Cl)cccc1Cl
-1.79,2.61,102.046,"2,6-dichlorophenol",Oc1c(Cl)cccc1Cl
-2.62,-0.0707,168.13299999999998,hydrochlorthiazide,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
-3.78,3.25,247.987,metolazone,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C
-3.29,1.78,181.833,quinethazone,CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1
-3.05,-0.22,164.41400000000002,chlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O
-9.15,7.41,242.889,"2,2´,3,3´,5,5´,6,6´-PCB",Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl
-8.6,6.61,216.55700000000002,"2,2',3,3',5,6-PCB",Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl
-7.42,6.66,216.55700000000002,"2,2´,3,5,5´,6-PCB",Clc1ccc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1
-3.37,4.06,128.378,"2,3,5,6-tetrachlorophenol",Oc1c(Cl)c(Cl)cc(Cl)c1Cl
-8.56,6.83,216.55700000000002,"2,2´,4,4´5,5´-PCB",Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl
-7.89,6.38,203.391,"2,2´,4,5,5´-PCB",Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1
-7.39,6.42,203.391,"2,3´,4,4´,5-PCB",Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl
-6.27,5.4,177.05900000000003,"2,4,5-PCB",Clc1cc(Cl)c(-c2ccccc2)cc1Cl
-5.56,4.23,124.071,"1,2,4,5-tetrachlorobenzene",Clc1cc(Cl)c(Cl)cc1Cl
-4.52,3.86,205.143,stirofos,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl
