,Expt,ClogP,Polarizability,Name,smiles
53,-2.15,2.43,84.169,"1,2-dibromopropane",CC(Br)CBr
54,-1.59,2.03,63.437,2-bromopropane,CC(C)Br
55,-1.71,2.3,65.445,halothane,FC(F)(F)C(Cl)Br
56,-1.54,2.02,64.801,bromodichloromethane,ClC(Cl)Br
57,-1.32,2.07,71.029,"1,2-dibromoethylene",BrC=CBr
58,-9.33,7.38,249.523,coronene,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61
59,-9.03,6.89,231.993,benzo(ghi)perylene,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56
60,-7.8,6.4,214.463,benzo(e)pyrene,c1ccc2c(c1)c1cccc3ccc4cccc2c4c31
61,-8.19,6.4,214.463,benzo(a)pyrene,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34
62,-6.19,5.17,172.62099999999995,pyrene,c1cc2ccc3cccc4ccc(c1)c2c34
63,-7.87,7.14,238.775,picene,c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21
64,-8.23,6.4,214.463,benzo(b)fluoranthene,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13
65,-8.66,7.14,238.775,"dibenz(a,h)anthracene",c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12
66,-5.26,4.68,155.091,phenantherene,c1ccc2c(c1)ccc1ccccc12
67,-8.0,6.4,214.463,benzo(j)fluoranthene,c1ccc2c3c(ccc2c1)-c1cccc2cccc-3c12
68,-8.8,6.4,214.463,perylene,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54
69,-8.49,6.4,214.463,benzo(k)fluoranthene,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12
70,-6.0,5.17,172.62099999999995,fluoranthene,c1ccc2c(c1)-c1cccc3cccc-2c13
71,-6.74,5.91,196.933,triphenylene,c1ccc2c(c1)c1ccccc1c1ccccc21
72,-8.06,5.91,196.933,chrysene,c1ccc2c(c1)ccc1c3ccccc3ccc21
73,-8.6,5.91,196.933,naphthacene,c1ccc2cc3cc4ccccc4cc3cc2c1
74,-6.35,4.68,155.091,anthracene,c1ccc2cc3ccccc3cc2c1
75,-3.6,3.45,113.249,naphthalene,c1ccc2ccccc2c1
76,-4.48,4.35,98.343,"1,1,3-trimethylcyclopentane",CC1CCC(C)(C)C1
77,-7.11,5.63,203.715,p-terphenyl,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1
78,-4.31,3.98,137.561,biphenyl,c1ccc(-c2ccccc2)cc1
79,-2.82,2.7,95.719,styrene,C=Cc1ccccc1
80,-6.68,5.39,185.105,benzo(a)fluorene,c1ccc2c(c1)Cc1c-2ccc2ccccc12
81,-8.04,5.39,185.105,benzo(b)fluorene,c1ccc2c(c1)Cc1cc3ccccc3cc1-2
82,-5.22,4.62,155.747,1-methylfluorene,Cc1cccc2c1Cc1ccccc1-2
83,-4.91,4.16,143.263,fluorene,c1ccc2c(c1)Cc1ccccc1-2
84,-5.96,5.75,174.58900000000003,"1,2,3,6,7,8-hexahydropyrene",c1cc2c3c(ccc4c3c1CCC4)CCC2
85,-7.92,7.11,227.603,3-methylcholanthrene,Cc1ccc2c(ccc3c4c5c(cccc5cc32)CC4)c1
86,-7.92,7.11,227.603,3-methylcholanthrene,Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3
87,-7.85,6.65,215.11900000000003,cholanthrene,c1cc2c3c(c4ccc5ccccc5c4cc3c1)CC2
88,-4.63,4.19,131.435,acenaphthene,c1cc2c3c(cccc3c1)CC2
89,-3.04,3.34,102.077,indane,c1ccc2c(c1)CCC2
90,-4.37,3.9,114.561,"1,2,3,4-tetrahydronapthalene",c1ccc2c(c1)CCCC2
91,-2.64,2.82,60.89100000000001,cyclopentane,C1CCCC1
92,-3.1,3.39,73.375,cyclohexane,C1CCCCC1
93,-3.52,3.95,85.859,cycloheptane,C1CCCCCC1
94,-4.15,4.51,98.343,cyclooctane,C1CCCCCCC1
95,-3.27,3.49,85.20299999999997,1-methylcyclohexene,CC1=CCCCC1
96,-2.59,2.89,72.719,cyclohexene,C1=CCCCC1
97,-3.18,3.46,85.20299999999997,cycloheptene,C1=CCCCCC1
98,-2.1,2.33,60.235,cyclopentene,C1=CCCC1
99,-1.97,2.3,72.063,"1,4-cyclohexadiene",C1=CCC=CC1
100,-2.15,2.49,83.891,cycloheptatriene,C1=CC=CCC=C1
101,-6.08,5.44,123.311,pentylcyclopentane,CCCCCC1CCCC1
102,-4.74,4.38,98.343,n-Propylcyclopentane,CCCC1CCCC1
103,-3.3,3.31,73.375,methylcyclopentane,CC1CCCC1
104,-4.25,4.41,98.343,ethylcyclohexane,CCC1CCCCC1
105,-3.85,3.88,85.859,methylcyclohexane,CC1CCCCC1
106,-4.47,4.37,98.343,"1,4-dimethylcyclohexane",CC1CCC(C)CC1
107,-4.0,4.45,121.999,d-limonene,C=C(C)C1CC=C(C)CC1
108,-5.19,4.93,116.529,decalin,C1CCC2CCCCC2C1
109,-4.27,4.37,98.343,"trans-1,2-dimethylcyclohexane",CC1CCCCC1C
110,-1.64,2.22,71.407,benzene,c1ccccc1
111,-3.96,4.27,130.779,acenaphthylene,C1=Cc2cccc3cccc1c23
112,-4.15,4.44,133.827,t-pentylbenzene,CC(C)(C)Cc1ccccc1
113,-4.36,4.11,92.641,"2,2-dimethylpentane",CCCC(C)(C)C
114,-5.05,4.99,117.609,"2,2,5-trimethylhexane",CC(C)CCC(C)(C)C
115,-4.23,4.11,92.641,"3,3-dimethylpentane",CCC(C)(C)CC
116,-4.15,4.44,133.827,t-amylbenzene,CCC(C)(C)c1ccccc1
117,-3.55,3.58,80.157,"2,2-dimethylbutane",CCC(C)(C)C
118,-4.74,4.46,105.125,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C
119,-3.66,3.91,121.343,t-butylbenzene,CC(C)(C)c1ccccc1
120,-4.36,3.93,92.641,"2,2,3-trimethylbutane",CC(C)C(C)(C)C
121,-4.17,4.21,150.045,diphenylmethane,c1ccc(Cc2ccccc2)cc1
122,-0.4,1.32,29.565,ethylene,C=C
123,-4.62,4.7,162.529,bibenzyl,c1ccc(CCc2ccccc2)cc1
124,-3.37,3.74,108.859,n-propylbenzene,CCCc1ccccc1
125,-3.03,3.45,79.501,2-methyl-1-Pentene,C=C(C)CCC
126,-1.64,2.06,63.00899999999999,1-pentyne,C#CCCC
127,-4.64,4.8,133.827,n-pentylbenzene,CCCCCc1ccccc1
128,-3.01,3.12,87.977,1-heptyne,C#CCCCCC
129,-4.24,4.19,112.945,1-nonyne,C#CCCCCCCC
130,-8.33,14.57,329.837,hexacosane,CCCCCCCCCCCCCCCCCCCCCCCCCC
131,-8.17,11.38,254.933,eicosane,CCCCCCCCCCCCCCCCCCCC
132,-8.4,9.26,204.997,hexadecane,CCCCCCCCCCCCCCCC
133,-7.96,8.19,180.02900000000002,tetradecane,CCCCCCCCCCCCCC
134,-5.88,5.54,117.609,nonane,CCCCCCCCC
135,-5.51,5.56,129.437,1-decene,C=CCCCCCCCC
136,-5.24,5.01,105.125,n-octane,CCCCCCCC
137,-5.05,5.03,116.953,1-nonene,C=CCCCCCCC
138,-5.21,5.34,146.311,n-hexylbenzene,CCCCCCc1ccccc1
139,-3.66,3.65,100.461,1-octyne,C#CCCCCCC
140,-4.53,4.47,92.641,n-heptane,CCCCCCC
141,-4.44,4.5,104.469,1-octene,C=CCCCCCC
142,-3.84,3.94,80.157,n-hexane,CCCCCC
143,-3.73,3.96,91.985,1-heptene,C=CCCCCC
144,-4.06,4.27,121.343,n-butylbenzene,CCCCc1ccccc1
145,-2.36,2.59,75.493,1-hexyne,C#CCCCC
146,-3.18,3.41,67.673,n-pentane,CCCCC
147,-3.23,3.43,79.501,1-hexene,C=CCCCC
148,-3.82,3.96,91.985,trans-2-heptene,CC=CCCCC
149,-2.57,2.88,55.18899999999999,butane,CCCC
150,-2.68,2.9,67.017,1-pentene,C=CCCC
151,-2.68,2.8,78.845,"1,5-hexadiene",C=CCCC=C
152,-4.17,4.44,138.217,1-ethylnaphthalene,CCc1cccc2ccccc12
153,-3.28,4.2,121.343,"1,2-diethylbenzene",CCc1ccccc1CC
154,-3.21,3.67,108.859,1-ethyl-2-methylbenzene,CCc1ccccc1C
155,-6.89,5.67,180.05900000000003,2-ethylanthracene,CCc1ccc2cc3ccccc3cc2c1
156,-4.29,4.44,138.217,2-ethylnaphthalene,CCc1ccc2ccccc2c1
157,-3.75,4.2,121.343,"1,4-diethylbenzene",CCc1ccc(CC)cc1
158,-3.11,3.67,108.859,1-ethyl-4-methylbenzene,CCc1ccc(C)cc1
159,-2.77,3.21,96.375,ethylbenzene,CCc1ccccc1
160,-1.99,2.52,75.493,3-hexyne,CCC#CCC
161,-1.24,1.53,50.525,1-butyne,C#CCC
162,-2.73,2.92,67.017,2-methyl-1-butene,C=C(C)CC
163,-1.94,2.35,42.705,propane,CCC
164,-1.94,2.37,54.533,1-butene,C=CCC
165,-2.54,2.89,67.017,trans-2-pentene,CC=CCC
166,-2.09,2.39,66.361,"1,4-pentadiene",C=CCC=C
167,-7.02,6.83,221.901,"7,12-dimethylbenz(a)anthracene",Cc1c2ccccc2c(C)c2c1ccc1ccccc12
168,-6.57,6.37,209.417,6-methylchrysene,Cc1cc2c3ccccc3ccc2c2ccccc12
169,-7.01,6.83,221.901,"5,6-dimethylchrysene",Cc1c(C)c2c3ccccc3ccc2c2ccccc12
170,-6.59,6.37,209.417,5-methylchrysene,Cc1cc2ccccc2c2ccc3ccccc3c12
171,-5.85,5.14,167.575,1-methylphenanthrene,Cc1cccc2c1ccc1ccccc12
172,-6.57,5.6,180.05900000000003,"9,10-dimethylanthracene",Cc1c2ccccc2c(C)c2ccccc12
173,-4.92,4.83,150.701,"1,4,5-trimethylnaphthalene",Cc1ccc(C)c2c(C)cccc12
174,-4.14,4.37,138.217,"1,4-dimethylnaphthalene",Cc1ccc(C)c2ccccc12
175,-4.74,4.37,138.217,"1,5-dimethylnaphthalene",Cc1cccc2c(C)cccc12
176,-5.89,5.14,167.575,9-methylanthracene,Cc1c2ccccc2cc2ccccc12
177,-4.29,4.37,138.217,"1,3-dimethylnaphthalene",Cc1cc(C)c2ccccc2c1
178,-3.7,3.91,125.733,1-methylnaphthalene,Cc1cccc2ccccc12
179,-5.23,4.98,146.311,hexamethylbenzene,Cc1c(C)c(C)c(C)c(C)c1C
180,-4.0,4.52,133.827,pentamethylbenzene,Cc1cc(C)c(C)c(C)c1C
181,-4.72,4.37,138.217,"2,3-dimethylnaphthalene",Cc1cc2ccccc2cc1C
182,-4.59,4.06,121.343,"1,2,4,5-tetramethylbenzene",Cc1cc(C)c(C)cc1C
183,-3.31,3.6,108.859,"1,2,4-trimethylbenzene",Cc1ccc(C)c(C)c1
184,-3.2,3.6,108.859,"1,2,3-trimethylbenzene",Cc1cccc(C)c1C
185,-2.8,3.14,96.375,o-xylene,Cc1ccccc1C
186,-5.84,5.14,167.575,2-methylphenanthrene,Cc1ccc2c(ccc3ccccc32)c1
187,-6.96,5.14,167.575,2-methylanthracene,Cc1ccc2cc3ccccc3cc2c1
188,-4.89,4.37,138.217,"2,6-dimethylnaphthalene",Cc1ccc2cc(C)ccc2c1
189,-3.77,3.91,125.733,2-methylnaphthalene,Cc1ccc2ccccc2c1
190,-3.4,3.6,108.859,"1,3,5-trimethylbenzene",Cc1cc(C)cc(C)c1
191,-2.82,3.14,96.375,m-xylene,Cc1cccc(C)c1
192,-4.62,4.44,150.045,4-methylbiphenyl,Cc1ccc(-c2ccccc2)cc1
193,-2.77,3.14,96.375,p-xylene,Cc1ccc(C)cc1
194,-2.21,2.68,83.891,toluene,Cc1ccccc1
195,-0.41,1.0,38.041,propyne,C#CC
196,-2.4,2.97,78.845,"2,3-dimethyl-1,3-butadiene",C=C(C)C(=C)C
197,-2.33,2.39,54.533,2-methylpropene,C=C(C)C
198,-2.03,2.41,66.361,"2-methyl-1,3-butadiene",C=CC(=C)C
199,-2.56,2.91,67.017,2-methy-2-Butene,CC=C(C)C
200,-1.36,1.82,30.221,ethane,CC
201,-1.08,1.84,42.049,propylene,C=CC
202,-0.9,1.09,17.737000000000005,methane,C
203,0.29,0.37,25.557,ethyne,C#C
204,-4.12,4.09,121.343,isobutylbenzene,CC(C)Cc1ccccc1
205,-5.08,4.82,105.125,2-methylheptane,CCCCCC(C)C
206,-5.16,4.82,105.125,3-methylheptane,CCCCC(C)CC
207,-3.74,3.76,80.157,2-methylpentane,CCCC(C)C
208,-3.68,3.76,80.157,3-methylpentane,CCC(C)CC
209,-3.89,4.09,121.343,2-butylbenzene,CCC(C)c1ccccc1
210,-3.18,3.23,67.673,2-methylbutane,CCC(C)C
211,-1.87,1.86,53.877,"1,3-butadiene",C=CC=C
212,-3.24,3.25,79.501,4-methyl-1-pentene,C=CCC(C)C
213,-4.26,4.11,92.641,"2,4-dimethylpentane",CC(C)CC(C)C
214,-3.76,4.02,121.343,2-isopropyltoluene,Cc1ccccc1C(C)C
215,-3.77,4.02,121.343,p-isopropyltoluene,Cc1ccc(C(C)C)cc1
216,-3.27,3.56,108.859,isopropylbenzene,CC(C)c1ccccc1
217,-2.55,2.7,55.18899999999999,2-methylpropane,CC(C)C
218,-2.73,2.72,67.017,3-methyl-1-Butene,C=CC(C)C
219,-4.28,4.11,92.641,"2,3-dimethylpentane",CCC(C)C(C)C
220,-3.65,3.58,80.157,"2,3-dimethylbutane",CC(C)C(C)C
221,-4.8,4.45,105.125,"2,3,4-trimethylpentane",CC(C)C(C)C(C)C
222,-5.26,5.89,228.431,kepone,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
223,-6.8,7.42,254.175,mirex,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
224,-4.61,3.53,226.081,griseofulvin,COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O
225,-2.88,-0.33,305.41,chlortetracycline,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12
226,-2.52,-0.87,292.926,demeclocycline,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12
227,-3.93,4.04,126.415,1-chloronaphthalene,Clc1cccc2ccccc12
228,-2.61,2.01,152.81799999999996,benazolin,O=C(O)Cn1c(=O)sc2cccc(Cl)c21
229,-6.29,4.88,203.798,endrin,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
230,-6.29,5.47,198.778,heptachlor epoxide,ClC1=C(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C2(Cl)Cl
231,-7.33,5.32,205.617,aldrin,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl
232,-6.86,5.57,214.419,chlordane,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl
233,-5.64,5.44,187.431,chlordene,ClC1=C(Cl)C2(Cl)C3CC=CC3C1(Cl)C2(Cl)Cl
234,-6.32,5.46,200.597,heptachlor,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl
235,-5.46,4.11,191.738,1-hydroxychlordene,OC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
236,-5.43,3.39,154.27100000000004,chlorquinox,Clc1c(Cl)c(Cl)c2nccnc2c1Cl
237,-4.98,3.58,139.159,"4,5,7-trichloro-2,1,3-benzothiadiazole",Clc1cc(Cl)c2nsnc2c1Cl
238,-11.62,8.1,269.221,"2,2´,3,3´,4,4´,5,5´,6,6´-PCB",Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl
239,-10.26,7.79,256.055,"2,2´,3,3´,4,4´,5,5´,6-PCB",Clc1cc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl
240,-10.41,7.76,256.055,"2,2´,3,3´,4,5,5´,6,6´-PCB",Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl
241,-7.92,7.1,229.723,"2,2',3,4,4',5',6-PCB",Clc1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1
242,-8.94,7.01,229.723,"2,2´,3,4,5,5´,6-PCB",Clc1ccc(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1
243,-7.92,6.04,203.391,"2,3,4,5,6-PCB",Clc1c(Cl)c(Cl)c(-c2ccccc2)c(Cl)c1Cl
244,-4.28,4.78,141.54399999999995,pentachlorophenol,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
245,-5.64,2.88,150.263,chlorothalonil,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl
246,-4.02,4.6,145.16899999999995,tetrachloroguaiacol,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl
247,-8.3,7.16,229.723,"2,2´,3,3´,4,4´,6-PCB",Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1Cl
248,-7.92,7.21,229.723,"2,2´,3,4,4´,5´,6-PCB",Clc1cc(Cl)c(-c2c(Cl)cc(Cl)c(Cl)c2Cl)cc1Cl
249,-7.43,6.26,203.391,"2,2´,3,4,6-PCB",Clc1ccccc1-c1c(Cl)cc(Cl)c(Cl)c1Cl
250,-7.66,6.79,216.557,"2,3,3´,4,4´6-PCB",Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)cc1Cl
251,-3.1,4.17,128.378,"2,3,4,6-Tetrachlorophenol",Oc1c(Cl)cc(Cl)c(Cl)c1Cl
252,-1.7,2.75,131.909,dicamba,COc1c(Cl)ccc(Cl)c1C(=O)O
253,-9.16,7.49,242.889,"2,2´,3,3´,4,4´,5,5´-PCB",Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl
254,-8.42,6.65,216.557,"2,2´,3,3´,4,5-PCB",Clc1cccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1Cl
255,-7.39,6.79,216.557,"2,3',4,4',5-PCB",Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1
256,-7.68,6.7,216.557,"2,2´,3,4,5,5´-PCB",Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1
257,-7.21,6.21,203.391,"2,2´,3,4,5-PCB",Clc1ccccc1-c1cc(Cl)c(Cl)c(Cl)c1Cl
258,-7.82,6.74,216.557,"2,3,3´,4,4´,5-PCB",Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl
259,-7.16,5.73,190.225,"2,3,4,5-PCB",Clc1cc(-c2ccccc2)c(Cl)c(Cl)c1Cl
260,-5.65,4.6,137.237,pentachlorobenzene,Clc1cc(Cl)c(Cl)c(Cl)c1Cl
261,-3.15,4.39,128.378,"2,3,4,5-tetrachlorophenol",Oc1cc(Cl)c(Cl)c(Cl)c1Cl
262,-8.71,7.1,216.557,"2,2',4,4',6,6'-PCB",Clc1cc(Cl)c(-c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1
263,-7.32,6.51,203.391,"2,2,4,6,6´-PCB",Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1
264,-6.14,5.54,177.05900000000003,"2,4,6-PCB",Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1
265,-2.34,3.58,115.212,"2,4,6-trichlorophenol",Oc1c(Cl)cc(Cl)cc1Cl
266,-8.01,6.73,216.557,"2,2´,3,3´,4,4´-PCB",Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl
267,-7.05,6.27,203.391,"1,2,3-trichloro-4-(2,3-dichlorophenyl)benzene",Clc1cccc(-c2ccc(Cl)c(Cl)c2Cl)c1Cl
268,-8.32,6.78,216.557,"2,2´,3,4,4´,5´-PCB",Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl
269,-7.8,6.41,203.391,"2,3',4,4'-PCB",Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1
270,-7.91,6.32,203.391,"2,2´,3,4,5´-PCB",Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c1
271,-7.05,6.36,203.391,"2,2´,3,3´,4-PCB",Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl
272,-4.57,4.18,124.071,"1,2,3,4-tetrachlorobenzene",Clc1ccc(Cl)c(Cl)c1Cl
273,-2.67,3.66,115.212,"2,3,4-trichlorophenol",Oc1ccc(Cl)c(Cl)c1Cl
274,-6.8,5.92,190.225,"2,2´,5,6´-PCB",Clc1ccc(Cl)c(-c2c(Cl)cccc2Cl)c1
275,-7.39,5.91,190.225,"2,2´,6,6´-PCB",Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl
276,-6.14,5.51,177.05900000000003,"2,4,6-PCB",Clc1ccc(-c2c(Cl)cccc2Cl)cc1
277,-5.21,4.94,163.893,"2,6-PCB",Clc1cccc(Cl)c1-c1ccccc1
278,-2.1,2.24,114.53,"2,6-dichlorobenzyl alcohol",OCc1c(Cl)cccc1Cl
279,-4.24,2.79,110.835,"2,6-dichlorobenzonitrile",N#Cc1c(Cl)cccc1Cl
280,-1.79,2.61,102.046,"2,6-dichlorophenol",Oc1c(Cl)cccc1Cl
281,-2.62,-0.0707,168.13299999999995,hydrochlorthiazide,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
282,-3.78,3.25,247.987,metolazone,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C
283,-3.29,1.78,181.833,quinethazone,CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1
284,-3.05,-0.22,164.41400000000004,chlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O
285,-9.15,7.41,242.889,"2,2´,3,3´,5,5´,6,6´-PCB",Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl
286,-8.6,6.61,216.557,"2,2',3,3',5,6-PCB",Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl
287,-7.42,6.66,216.557,"2,2´,3,5,5´,6-PCB",Clc1ccc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1
288,-3.37,4.06,128.378,"2,3,5,6-tetrachlorophenol",Oc1c(Cl)c(Cl)cc(Cl)c1Cl
289,-8.56,6.83,216.557,"2,2´,4,4´5,5´-PCB",Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl
290,-7.89,6.38,203.391,"2,2´,4,5,5´-PCB",Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1
