Expt,ClogP,Polarizability,Name,SLN
-6.19,5.17,172.621,pyrene,C[1]=C[2]C[3]=CHCH=C@1CH=CHCH=C@1CH=CHC@2=CHCH=CH@3
-7.87,7.14,238.775,picene,C[1]C[2]=C(C[4]=C(CH=CH@2)CH=CHCH=CH@4)CH=CHC@1=C[23]C(=CHCH=@1)CH=CHCH=CH@23
-8.23,6.4,214.463,benzo(b)fluoranthene,C[1]C[2]=C(CH=C[6]C@1=C(CH=CHCH=@1)C[15]=C@6CH=CHCH=CH@15)CH=CHCH=CH@2
-8.66,7.14,238.775,"dibenz(a,h)anthracene",C[1]C[2]=C(CH=CHC@1=CHC[11]C[12]=C(CH=CHC=@11CH=@1)CH=CHCH=CH@12)CH=CHCH=CH@2
-5.26,4.68,155.091,phenantherene,C[1]C[2]=C(CH=CHC@1=CHCH=CHCH=@1)CH=CHCH=CH@2
-8,6.4,214.463,benzo(j)fluoranthene,C[1]C[2]=CHCH=CHC=@1C[10]C[11]=C(CH=CHC=@10C@1=CHCH=CH@2)CH=CHCH=CH@11
-8.8,6.4,214.463,perylene,C[1]C[2]=CHCH=CHC=@1C[10]=C[11]C(CH=CHCH=C@11C@1=CHCH=CH@2)=CHCH=CH@10
-8.49,6.4,214.463,benzo(k)fluoranthene,C[1]C[2]=CHCH=CHC=@1C[10]=C(CH=C[14]C(=CH@10)CH=CHCH=CH@14)C@1=CHCH=CH@2
-6,5.17,172.621,fluoranthene,C[1]C[2]=CHCH=CHC=@1C[10]=C(CH=CHCH=CH@10)C@1=CHCH=CH@2
-6.74,5.91,196.933,triphenylene,C[1]C(C[3]=C(C[5]=C@1CH=CHCH=CH@5)CH=CHCH=CH@3)=CHCH=CHCH=@1
-8.06,5.91,196.933,chrysene,C[1]C(=C[3]C(=CHCH=@1)CH=CHCH=CH@3)CH=CHC[21]=C@1CH=CHCH=CH@21
-8.6,5.91,196.933,naphthacene,C[1]C(=CHC[5]=C(CH=@1)CH=CHCH=CH@5)CH=C[19]C(=CH@1)CH=CHCH=CH@19
-6.35,4.68,155.091,anthracene,C[1]C(=CHC[5]=C(CH=@1)CH=CHCH=CH@5)CH=CHCH=CH@1
-3.6,3.45,113.249,naphthalene,C[1]C(=CHCH=CHCH=@1)CH=CHCH=CH@1
-4.48,4.35,98.343,"1,1,3-trimethylcyclopentane",C[1](CH2CH(CH2CH2@1)CH3)(CH3)CH3
-7.11,5.63,203.715,p-terphenyl,C[1](=CHCH=C(CH=CH@1)C[11]=CHCH=CHCH=CH@11)C[22]=CHCH=CHCH=CH@22
-4.31,3.98,137.561,biphenyl,C[1](=CHCH=CHCH=CH@1)C[12]=CHCH=CHCH=CH@12
-2.82,2.7,95.719,styrene,C[1](=CHCH=CHCH=CH@1)CH=CH2
-6.68,5.39,185.105,benzo(a)fluorene,C[1]H2C[4]C[5]=C(CH=CHC=@4C[12]=C@1CH=CHCH=CH@12)CH=CHCH=CH@5
-8.04,5.39,185.105,benzo(b)fluorene,C[1]H2C[4]=C(CH=C[8]C(=CH@4)CH=CHCH=CH@8)C[20]=C@1CH=CHCH=CH@20
-5.22,4.62,155.747,1-methylfluorene,C[1]H2C[4]=C(CH=CHCH=C@4CH3)C[17]=C@1CH=CHCH=CH@17
-4.91,4.16,143.263,fluorene,C[1]H2C[4]=C(CH=CHCH=CH@4)C[14]=C@1CH=CHCH=CH@14
-5.96,5.75,174.589,"1,2,3,6,7,8-hexahydropyrene",C[1]H2CH2C[7]=C[8]C[9]C(=CHCH=C@8CH2@1)CH2CH2CH2C=@9CH=CH@7
-7.92,7.11,227.603,3-methylcholanthrene,C[1]H2CH2C[7]C[8]=C(CH=C[12]C[13]=C(CH=C(CH=CH@13)CH3)CH=CHC@12=C@1@8)CH=CHCH=@7
-7.92,7.11,227.603,3-methylcholanthrene,C[1]H2CH2C[7]C[8]=C(CH=C[12]C[13]=C(CH=CHC@12=C@1@8)CH=CHCH=CH@13)CH=CHC=@7CH3
-7.85,6.65,215.119,cholanthrene,C[1]H2CH2C[7]C[8]=C(CH=C[12]C[13]=C(CH=CHC@12=C@1@8)CH=CHCH=CH@13)CH=CHCH=@7
-4.63,4.19,131.435,acenaphthene,C[1]H2CH2C[7]C[8]=C(CH=CHCH=C@1@8)CH=CHCH=@7
-3.04,3.34,102.077,indane,C[1]H2CH2C[7]=C(CH=CHCH=CH@7)CH2@1
-4.37,3.9,114.561,"1,2,3,4-tetrahydronapthalene",C[1]H2CH2CH2C[10]=C(CH=CHCH=CH@10)CH2@1
-2.64,2.82,60.891,cyclopentane,C[1]H2CH2CH2CH2CH2@1
-3.1,3.39,73.375,cyclohexane,C[1]H2CH2CH2CH2CH2CH2@1
-3.52,3.95,85.859,cycloheptane,C[1]H2CH2CH2CH2CH2CH2CH2@1
-4.15,4.51,98.343,cyclooctane,C[1]H2CH2CH2CH2CH2CH2CH2CH2@1
-3.27,3.49,85.203,1-methylcyclohexene,C[1]H2CH2CH2CH=C(CH2@1)CH3
-2.59,2.89,72.719,cyclohexene,C[1]H2CH2CH2CH=CHCH2@1
-3.18,3.46,85.203,cycloheptene,C[1]H2CH2CH2CH=CHCH2CH2@1
-2.1,2.33,60.235,cyclopentene,C[1]H2CH2CH=CHCH2@1
-1.97,2.3,72.063,"1,4-cyclohexadiene",C[1]H2CH=CHCH2CH=CH@1
-2.15,2.49,83.891,cycloheptatriene,C[1]H2CH=CHCH=CHCH=CH@1
-2.15,2.49,83.891,cycloheptatriene,C[1]H2CH=CHCH=CHCH=CH@1
-6.08,5.44,123.311,pentylcyclopentane,C[1]H(CH2CH2CH2CH2@1)CH2CH2CH2CH2CH3
-4.74,4.38,98.343,n-Propylcyclopentane,C[1]H(CH2CH2CH2CH2@1)CH2CH2CH3
-3.3,3.31,73.375,methylcyclopentane,C[1]H(CH2CH2CH2CH2@1)CH3
-4.25,4.41,98.343,ethylcyclohexane,C[1]H(CH2CH2CH2CH2CH2@1)CH2CH3
-3.85,3.88,85.859,methylcyclohexane,C[1]H(CH2CH2CH2CH2CH2@1)CH3
-4.47,4.37,98.343,"1,4-dimethylcyclohexane",C[1]H(CH2CH2CH(CH2CH2@1)CH3)CH3
-4,4.45,121.999,d-limonene,C[1]H(CH2CH2C(=CHCH2@1)CH3)C(=CH2)CH3
-5.19,4.93,116.529,decalin,C[1]HCH(CH2CH2CH2CH2@1)CH2CH2CH2CH2@1
-4.27,4.37,98.343,"trans-1,2-dimethylcyclohexane",C[1]H(CH(CH2CH2CH2CH2@1)CH3)CH3
-1.64,2.22,71.407,benzene,C[1]H=CHCH=CHCH=CH@1
-3.96,4.27,130.779,acenaphthylene,C[1]H=CHC[5]C[6]=C(CH=CHCH=C@1@6)CH=CHCH=@5
-4.15,4.44,133.827,t-pentylbenzene,C(CH2C[5]=CHCH=CHCH=CH@5)(CH3)(CH3)CH3
-4.36,4.11,92.641,"2,2-dimethylpentane",C(CH2CH2CH3)(CH3)(CH3)CH3
-5.05,4.99,117.609,"2,2,5-trimethylhexane",C(CH2CH2CH(CH3)CH3)(CH3)(CH3)CH3
-4.23,4.11,92.641,"3,3-dimethylpentane",C(CH2CH3)(CH2CH3)(CH3)CH3
-4.15,4.44,133.827,t-amylbenzene,C(CH2CH3)(CH3)(CH3)C[17]=CHCH=CHCH=CH@17
-3.55,3.58,80.157,"2,2-dimethylbutane",C(CH2CH3)(CH3)(CH3)CH3
-4.74,4.46,105.125,"2,2,4-trimethylpentane",C(CH2CH(CH3)CH3)(CH3)(CH3)CH3
-3.66,3.91,121.343,t-butylbenzene,C(CH3)(CH3)(CH3)C[14]=CHCH=CHCH=CH@14
-4.36,3.93,92.641,"2,2,3-trimethylbutane",C(CH(CH3)CH3)(CH3)(CH3)CH3
-4.17,4.21,150.045,diphenylmethane,CH2(C[4]=CHCH=CHCH=CH@4)C[15]=CHCH=CHCH=CH@15
-0.4,1.32,29.565,ethylene,CH2=CH2
-4.62,4.7,162.529,bibenzyl,CH2(CH2C[7]=CHCH=CHCH=CH@7)C[18]=CHCH=CHCH=CH@18
-3.37,3.74,108.859,n-propylbenzene,CH2(CH2C[7]=CHCH=CHCH=CH@7)CH3
-3.03,3.45,79.501,2-methyl-1-Pentene,CH2(CH2C(=CH2)CH3)CH3
-1.64,2.06,63.009,1-pentyne,CH2(CH2C#CH)CH3
-4.64,4.8,133.827,n-pentylbenzene,CH2(CH2CH2C[10]=CHCH=CHCH=CH@10)CH2CH3
-3.01,3.12,87.977,1-heptyne,CH2(CH2CH2C#CH)CH2CH3
-4.24,4.19,112.945,1-nonyne,CH2(CH2CH2CH2C#CH)CH2CH2CH3
-8.33,14.57,329.837,hexacosane,CH2(CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH3)CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH2CH3
-8.17,11.38,254.933,eicosane,CH2(CH2CH2CH2CH2CH2CH2CH2CH2CH2CH3)CH2CH2CH2CH2CH2CH2CH2CH2CH3
-8.4,9.26,204.997,hexadecane,CH2(CH2CH2CH2CH2CH2CH2CH2CH3)CH2CH2CH2CH2CH2CH2CH3
-7.96,8.19,180.029,tetradecane,CH2(CH2CH2CH2CH2CH2CH2CH3)CH2CH2CH2CH2CH2CH3
-5.88,5.54,117.609,nonane,CH2(CH2CH2CH2CH3)CH2CH2CH2CH3
-5.51,5.56,129.437,1-decene,CH2(CH2CH2CH2CH3)CH2CH2CH2CH=CH2
-5.24,5.01,105.125,n-octane,CH2(CH2CH2CH2CH3)CH2CH2CH3
-5.05,5.03,116.953,1-nonene,CH2(CH2CH2CH2CH=CH2)CH2CH2CH3
-5.21,5.34,146.311,n-hexylbenzene,CH2(CH2CH2CH3)CH2CH2C[20]=CHCH=CHCH=CH@20
-3.66,3.65,100.461,1-octyne,CH2(CH2CH2CH3)CH2CH2C#CH
-4.53,4.47,92.641,n-heptane,CH2(CH2CH2CH3)CH2CH2CH3
-4.44,4.5,104.469,1-octene,CH2(CH2CH2CH3)CH2CH2CH=CH2
-3.84,3.94,80.157,n-hexane,CH2(CH2CH2CH3)CH2CH3
-3.73,3.96,91.985,1-heptene,CH2(CH2CH2CH=CH2)CH2CH3
-4.06,4.27,121.343,n-butylbenzene,CH2(CH2CH3)CH2C[14]=CHCH=CHCH=CH@14
-2.36,2.59,75.493,1-hexyne,CH2(CH2CH3)CH2C#CH
-3.18,3.41,67.673,n-pentane,CH2(CH2CH3)CH2CH3
-3.23,3.43,79.501,1-hexene,CH2(CH2CH3)CH2CH=CH2
-3.82,3.96,91.985,trans-2-heptene,CH2(CH2CH3)CH2CH=[S=N]CHCH3
-3.82,3.96,91.985,trans-2-heptene,CH2(CH2CH3)CH2CH=[S=I]CHCH3
-2.57,2.88,55.189,butane,CH2(CH2CH3)CH3
-2.68,2.9,67.017,1-pentene,CH2(CH2CH=CH2)CH3
-2.68,2.8,78.845,"1,5-hexadiene",CH2(CH2CH=CH2)CH=CH2
-4.17,4.44,138.217,1-ethylnaphthalene,CH2(CH3)C[8]C[9]=C(CH=CHCH=@8)CH=CHCH=CH@9
-3.28,4.2,121.343,"1,2-diethylbenzene",CH2(CH3)C[8]=C(CH=CHCH=CH@8)CH2CH3
-3.21,3.67,108.859,1-ethyl-2-methylbenzene,CH2(CH3)C[8]=C(CH=CHCH=CH@8)CH3
-6.89,5.67,180.059,2-ethylanthracene,CH2(CH3)C[8]=CHC[11]=C(CH=C[15]C(=CH@11)CH=CHCH=CH@15)CH=CH@8
-4.29,4.44,138.217,2-ethylnaphthalene,CH2(CH3)C[8]=CHC[11]=C(CH=CH@8)CH=CHCH=CH@11
-3.75,4.2,121.343,"1,4-diethylbenzene",CH2(CH3)C[8]=CHCH=C(CH=CH@8)CH2CH3
-3.11,3.67,108.859,1-ethyl-4-methylbenzene,CH2(CH3)C[8]=CHCH=C(CH=CH@8)CH3
-2.77,3.21,96.375,ethylbenzene,CH2(CH3)C[8]=CHCH=CHCH=CH@8
-1.99,2.52,75.493,3-hexyne,CH2(CH3)C#CCH2CH3
-1.24,1.53,50.525,1-butyne,CH2(CH3)C#CH
-2.73,2.92,67.017,2-methyl-1-butene,CH2(CH3)C(=CH2)CH3
-1.94,2.35,42.705,propane,CH2(CH3)CH3
-1.94,2.37,54.533,1-butene,CH2(CH3)CH=CH2
-2.54,2.89,67.017,trans-2-pentene,CH2(CH3)CH=[S=N]CHCH3
-2.54,2.89,67.017,trans-2-pentene,CH2(CH3)CH=[S=I]CHCH3
-2.09,2.39,66.361,"1,4-pentadiene",CH2(CH=CH2)CH=CH2
-7.02,6.83,221.901,"7,12-dimethylbenz(a)anthracene",CH3C[5]=C[6]C[7]=C(CH=CHC@6=C(C[15]=C@5CH=CHCH=CH@15)CH3)CH=CHCH=CH@7
-6.57,6.37,209.417,6-methylchrysene,CH3C[5]C[6]=C(C[8]=C(C[10]=C(CH=CH@8)CH=CHCH=CH@10)CH=@5)CH=CHCH=CH@6
-7.01,6.83,221.901,"5,6-dimethylchrysene",CH3C[5]C[6]=C(C[8]=C(C=@5CH3)CH=CHCH=CH@8)CH=CHC[27]=C@6CH=CHCH=CH@27
-6.59,6.37,209.417,5-methylchrysene,CH3C[5]C[6]=C(C[8]=C(CH=@5)CH=CHCH=CH@8)CH=CHC[24]=C@6CH=CHCH=CH@24
-5.85,5.14,167.575,1-methylphenanthrene,CH3C[5]C[6]=C(C[8]=C(CH=CH@6)CH=CHCH=CH@8)CH=CHCH=@5
-6.57,5.6,180.059,"9,10-dimethylanthracene",CH3C[5]=C[6]C(=C(C[9]=C@5CH=CHCH=CH@9)CH3)CH=CHCH=CH@6
-4.92,4.83,150.701,"1,4,5-trimethylnaphthalene",CH3C[5]C[6]=C(C(=CHCH=@5)CH3)CH=CHCH=C@6CH3
-4.14,4.37,138.217,"1,4-dimethylnaphthalene",CH3C[5]C[6]=C(C(=CHCH=@5)CH3)CH=CHCH=CH@6
-4.74,4.37,138.217,"1,5-dimethylnaphthalene",CH3C[5]C[6]=C(C(=CHCH=CH@6)CH3)CH=CHCH=@5
-5.89,5.14,167.575,9-methylanthracene,CH3C[5]=C[6]C(=CHC[10]=C@5CH=CHCH=CH@10)CH=CHCH=CH@6
-4.29,4.37,138.217,"1,3-dimethylnaphthalene",CH3C[5]C[6]=C(CH=C(CH=@5)CH3)CH=CHCH=CH@6
-3.7,3.91,125.733,1-methylnaphthalene,CH3C[5]C[6]=C(CH=CHCH=@5)CH=CHCH=CH@6
-5.23,4.98,146.311,hexamethylbenzene,CH3C[5]=C(C(=C(C(=C@5CH3)CH3)CH3)CH3)CH3
-4,4.52,133.827,pentamethylbenzene,CH3C[5]=C(C(=CHC(=C@5CH3)CH3)CH3)CH3
-4.72,4.37,138.217,"2,3-dimethylnaphthalene",CH3C[5]=C(CH=C[9]C(=CH@5)CH=CHCH=CH@9)CH3
-4.59,4.06,121.343,"1,2,4,5-tetramethylbenzene",CH3C[5]=C(CH=C(C(=CH@5)CH3)CH3)CH3
-3.31,3.6,108.859,"1,2,4-trimethylbenzene",CH3C[5]=C(CH=CHC(=CH@5)CH3)CH3
-3.2,3.6,108.859,"1,2,3-trimethylbenzene",CH3C[5]=C(CH=CHCH=C@5CH3)CH3
-2.8,3.14,96.375,o-xylene,CH3C[5]=C(CH=CHCH=CH@5)CH3
-5.84,5.14,167.575,2-methylphenanthrene,CH3C[5]=CHC[8]=C(C[10]=C(CH=CH@8)CH=CHCH=CH@10)CH=CH@5
-6.96,5.14,167.575,2-methylanthracene,CH3C[5]=CHC[8]=C(CH=C[12]C(=CH@8)CH=CHCH=CH@12)CH=CH@5
-4.89,4.37,138.217,"2,6-dimethylnaphthalene",CH3C[5]=CHC[8]=C(CH=C(CH=CH@8)CH3)CH=CH@5
-3.77,3.91,125.733,2-methylnaphthalene,CH3C[5]=CHC[8]=C(CH=CH@5)CH=CHCH=CH@8
-3.4,3.6,108.859,"1,3,5-trimethylbenzene",CH3C[5]=CHC(=CHC(=CH@5)CH3)CH3
-2.82,3.14,96.375,m-xylene,CH3C[5]=CHC(=CHCH=CH@5)CH3
-4.62,4.44,150.045,4-methylbiphenyl,CH3C[5]=CHCH=C(CH=CH@5)C[15]=CHCH=CHCH=CH@15
-2.77,3.14,96.375,p-xylene,CH3C[5]=CHCH=C(CH=CH@5)CH3
-2.21,2.68,83.891,toluene,CH3C[5]=CHCH=CHCH=CH@5
-0.41,1,38.041,propyne,CH3C#CH
-2.4,2.97,78.845,"2,3-dimethyl-1,3-butadiene",CH3C(=CH2)C(=CH2)CH3
-2.33,2.39,54.533,2-methylpropene,CH3C(=CH2)CH3
-2.03,2.41,66.361,"2-methyl-1,3-butadiene",CH3C(=CH2)CH=CH2
-2.56,2.91,67.017,2-methy-2-Butene,CH3C(=CHCH3)CH3
-1.36,1.82,30.221,ethane,CH3CH3
-1.08,1.84,42.049,propylene,CH3CH=CH2
-0.9,1.09,17.737,methane,CH4
0.29,0.37,25.557,ethyne,CH#CH
-4.12,4.09,121.343,isobutylbenzene,CH(CH2C[6]=CHCH=CHCH=CH@6)(CH3)CH3
-5.08,4.82,105.125,2-methylheptane,CH(CH2CH2CH2CH2CH3)(CH3)CH3
-5.16,4.82,105.125,3-methylheptane,CH(CH2CH2CH2CH3)(CH2CH3)CH3
-3.74,3.76,80.157,2-methylpentane,CH(CH2CH2CH3)(CH3)CH3
-3.68,3.76,80.157,3-methylpentane,CH(CH2CH3)(CH2CH3)CH3
-3.89,4.09,121.343,2-butylbenzene,CH(CH2CH3)(CH3)C[14]=CHCH=CHCH=CH@14
-3.18,3.23,67.673,2-methylbutane,CH(CH2CH3)(CH3)CH3
-1.87,1.86,53.877,"1,3-butadiene",CH(=CH2)CH=CH2
-3.24,3.25,79.501,4-methyl-1-pentene,CH(CH2CH=CH2)(CH3)CH3
-4.26,4.11,92.641,"2,4-dimethylpentane",CH(CH2CH(CH3)CH3)(CH3)CH3
-3.76,4.02,121.343,2-isopropyltoluene,CH(CH3)(CH3)C[11]=C(CH=CHCH=CH@11)CH3
-3.77,4.02,121.343,p-isopropyltoluene,CH(CH3)(CH3)C[11]=CHCH=C(CH=CH@11)CH3
-3.27,3.56,108.859,isopropylbenzene,CH(CH3)(CH3)C[11]=CHCH=CHCH=CH@11
-2.55,2.7,55.189,2-methylpropane,CH(CH3)(CH3)CH3
-2.73,2.72,67.017,3-methyl-1-Butene,CH(CH3)(CH3)CH=CH2
-4.28,4.11,92.641,"2,3-dimethylpentane",CH(CH(CH3)CH3)(CH2CH3)CH3
-3.65,3.58,80.157,"2,3-dimethylbutane",CH(CH(CH3)CH3)(CH3)CH3
-4.8,4.45,105.125,"2,3,4-trimethylpentane",CH(CH(CH3)CH3)(CH(CH3)CH3)CH3
-5.26,5.89,228.431,kepone,ClC[2]C[3](C[4](C[5](C(C@2(C@4(Cl)Cl)Cl)(C@2(C(C@3@5Cl)=O)Cl)Cl)Cl)Cl)Cl
-6.8,7.42,254.175,mirex,ClC[2]C[3](C[4](C[5](C(C@2(C(C@3@5Cl)(Cl)Cl)Cl)(C@2(C@4(Cl)Cl)Cl)Cl)Cl)Cl)Cl
-4.61,3.53,226.081,griseofulvin,ClC[2]=C[3]C(=C(CH=C@2OCH3)OCH3)C(C[20](O@3)CH(CH2C(CH=C@20OCH3)=O)CH3)=O
-2.88,-0.33,305.41,chlortetracycline,ClC[2]C[3]=C(C(=CHCH=@2)OH)C(C[13]=C(C[15](CH(CH2CH@13C@3(OH)CH3)CH(C(=C(C@15=O)C(=O)NH2)OH)N(CH3)CH3)OH)OH)=O
-2.52,-0.87,292.926,demeclocycline,ClC[2]C[3]=C(C(=CHCH=@2)OH)C(C[13]=C(C[15](CH(CH2CH@13CH@3OH)CH(C(=C(C@15=O)C(=O)NH2)OH)N(CH3)CH3)OH)OH)=O
-3.93,4.04,126.415,1-chloronaphthalene,ClC[2]C[3]=C(CH=CHCH=@2)CH=CHCH=CH@3
-2.61,2.01,152.818,benazolin,ClC[2]=C[3]C(=CHCH=CH@2)SC(N@3CH2C(=O)OH)=O
-6.29,4.88,203.798,endrin,ClC[2]C[3]HC[5]HC[7]HOCH@7CH(CH@3C(C@2(Cl)Cl)(C(=C@2Cl)Cl)Cl)CH2@5
-6.29,5.47,198.778,heptachlor epoxide,ClC[2]C[3]HC[5]HOCH@5CH(CH@3C(C@2(Cl)Cl)(C(=C@2Cl)Cl)Cl)Cl
-7.33,5.32,205.617,aldrin,ClC[2]C[3]HCH(C(C@2(Cl)Cl)(C(=C@2Cl)Cl)Cl)C[16]HCH2CH@3CH=CH@16
-6.86,5.57,214.419,chlordane,ClC[2]C[3]HCH(C(C@2(Cl)Cl)(C(=C@2Cl)Cl)Cl)CH2CH(CH@3Cl)Cl
-5.64,5.44,187.431,chlordene,ClC[2]C[3]HCH(C(C@2(Cl)Cl)(C(=C@2Cl)Cl)Cl)CH=CHCH2@3
-6.32,5.46,200.597,heptachlor,ClC[2]C[3]HCH(C(C@2(Cl)Cl)(C(=C@2Cl)Cl)Cl)CH=CHCH@3Cl
-5.46,4.11,191.738,1-hydroxychlordene,ClC[2]C[3]HCH(C(C@2(Cl)Cl)(C(=C@2Cl)Cl)Cl)CH=CHCH@3OH
